线路,车牌号,首次观测,最后观测,已上线运行,出现待发
182路,沪A02126A,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A08953A,2026-09-17T07:19:53+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A12050A,2026-09-17T07:51:36+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A13735A,2026-09-17T06:41:41+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A31073D,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A32298D,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A35717D,2026-09-17T06:01:54+08:00,2026-09-17T09:21:38+08:00,是,是
182路,沪A55712D,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A66513D,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A67026D,2026-09-17T06:21:52+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A67353D,2026-09-17T07:11:51+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A67983D,2026-09-17T06:11:39+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A68397D,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
182路,沪A68870D,2026-09-17T06:01:54+08:00,2026-09-17T09:30:39+08:00,是,是
