线路,车牌号,首次观测,最后观测,已上线运行,出现待发
浦东78路,沪A35172D,2026-09-22T06:00:48+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A35186D,2026-09-22T06:20:31+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A35591D,2026-09-22T06:30:38+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A35616D,2026-09-22T06:30:38+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A36809D,2026-09-22T06:30:38+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A36930D,2026-09-22T07:30:39+08:00,2026-09-22T09:53:57+08:00,是,是
浦东78路,沪A51173D,2026-09-22T06:10:31+08:00,2026-09-22T18:40:34+08:00,是,是
浦东78路,沪A52736D,2026-09-22T06:00:48+08:00,2026-09-22T06:10:31+08:00,否,是
浦东78路,沪A53629D,2026-09-22T07:20:30+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A55150D,2026-09-22T06:00:48+08:00,2026-09-22T18:40:34+08:00,是,是
浦东78路,沪A55207D,2026-09-22T06:30:38+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A56123D,2026-09-22T06:50:30+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A56630D,2026-09-22T06:20:31+08:00,2026-09-22T18:00:48+08:00,是,是
浦东78路,沪A57022D,2026-09-22T07:00:44+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A57902D,2026-09-22T07:00:44+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A58633D,2026-09-22T06:50:30+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A59117D,2026-09-22T06:00:48+08:00,2026-09-22T19:10:32+08:00,是,是
浦东78路,沪A66373D,2026-09-22T06:20:31+08:00,2026-09-22T19:10:32+08:00,是,是
